name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_265,True,True,0.5282,0.76,0.12,0.7950,0.6060,0.709,True
test_266,True,True,13.8032,70.49,48.45,0.0000,0.3465,0.098,False
test_267,True,True,4.1356,8.89,15.97,0.0094,0.5266,0.000,True
test_268,True,True,3.3116,8.38,2.53,0.2584,0.3540,0.675,True
test_269,True,True,2.1062,5.57,1.89,0.3806,0.3888,0.672,True
test_270,True,True,29.2975,102.44,55.74,0.0254,0.5905,0.707,False
test_271,True,True,0.1432,0.46,0.69,0.8721,0.5427,0.708,True
test_272,True,True,0.7695,0.24,1.55,0.6605,0.5274,0.705,True
test_273,True,True,0.3559,1.96,1.37,0.6602,0.5935,0.712,True
test_274,True,True,2.3135,6.89,3.12,0.2967,0.4697,0.673,True
test_275,True,True,0.5424,2.62,1.71,0.6611,0.4811,0.722,True
test_276,True,True,0.7855,3.36,2.05,0.5712,0.5138,0.686,True
test_277,True,True,1.7260,7.49,4.67,0.2045,0.3540,0.711,True
test_278,True,True,0.2925,1.74,1.27,0.6591,0.5494,0.694,True
test_279,True,True,0.5202,1.70,0.86,0.7595,0.5866,0.702,True
test_280,True,True,0.8678,2.88,1.46,0.7074,0.5618,0.689,True
test_281,True,True,1.0515,2.27,0.56,0.6271,0.5628,0.681,True
test_282,True,True,0.4765,0.50,0.29,0.8769,0.5626,0.692,True
test_283,True,True,1.4664,3.30,0.85,0.5489,0.5411,0.708,True
test_284,True,True,0.2516,0.94,0.53,0.8704,0.4650,0.603,True
test_285,True,True,0.8481,2.01,0.59,0.7068,0.5979,0.676,True
test_286,True,True,29.2193,95.75,49.19,0.0282,0.6314,0.696,False
test_287,True,True,30.5353,102.94,54.18,0.0274,0.6039,0.708,False
test_288,True,True,0.4562,1.20,0.45,0.8012,0.5708,0.716,True
test_289,True,True,0.1696,1.01,0.73,0.8718,0.6439,0.704,True
test_290,True,True,0.7301,4.45,3.25,0.2935,0.5269,0.711,True
test_291,True,True,0.2994,1.83,1.35,0.6463,0.5339,0.638,True
test_292,True,True,0.0769,1.79,1.66,0.6609,0.6059,0.673,True
test_293,True,True,1.3424,3.21,0.95,0.5591,0.3995,0.668,True
test_294,True,True,0.4343,2.74,2.01,0.5715,0.5112,0.712,True
test_295,True,True,1.1176,0.75,1.08,0.7089,0.4273,0.590,True
test_296,True,True,3.1189,7.31,2.23,0.3051,0.4804,0.579,True
test_297,True,True,29.4376,100.82,53.92,0.0271,0.6431,0.703,False
test_298,True,True,0.3129,3.96,3.43,0.3547,0.4632,0.617,True
test_299,True,True,29.1372,95.42,48.98,0.0280,0.6055,0.702,False
test_300,True,True,0.8390,1.94,0.56,0.7952,0.5509,0.669,True
test_301,True,True,0.1834,1.23,0.93,0.8729,0.6157,0.692,True
test_302,True,True,1.4881,4.23,1.82,0.4664,0.5196,0.655,True
test_303,True,True,30.5903,104.29,55.47,0.0268,0.5051,0.686,False
test_304,True,True,28.6046,94.83,49.27,0.0283,0.5895,0.715,False
test_305,True,True,1.1103,1.45,0.47,0.6611,0.5939,0.677,True
test_306,True,True,0.1934,2.53,2.83,0.4751,0.4359,0.675,True
test_307,True,True,0.3655,0.69,0.09,0.7941,0.5831,0.707,True
