name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_5992,True,True,0.1373,0.44,0.66,0.8667,0.8110,0.755,True
test_5993,True,True,0.4967,0.49,0.29,0.8672,0.8164,0.754,True
test_5994,True,True,0.5270,1.17,0.34,0.7862,0.7953,0.748,True
test_5995,True,True,0.1646,1.19,0.93,0.6471,0.7442,0.757,True
test_5996,True,True,0.4672,0.89,0.16,0.8662,0.7885,0.752,True
test_5997,True,True,0.4500,0.87,0.17,0.8647,0.8053,0.755,True
test_5998,True,True,0.0628,0.04,0.14,0.8686,0.8464,0.747,True
test_5999,True,True,0.2685,0.53,0.10,0.8647,0.8040,0.743,True
test_6000,True,True,0.3248,1.05,0.54,0.8647,0.7949,0.750,True
test_9121,True,True,0.5156,1.29,0.48,0.7500,0.7400,0.675,True
test_9122,True,True,0.0942,0.09,0.05,1.0000,0.7896,0.695,True
test_9123,True,True,0.4661,2.83,2.10,0.4741,0.5349,0.697,True
test_9124,True,True,0.3243,0.84,0.33,0.7840,0.7442,0.697,True
test_9125,True,True,0.4693,1.12,0.38,0.8657,0.7392,0.695,True
test_9126,True,True,0.9034,2.83,1.42,0.5562,0.6024,0.680,True
test_9127,True,True,0.9427,2.20,0.72,0.6954,0.6752,0.695,True
test_9128,True,True,0.2171,0.92,1.26,0.6468,0.6612,0.694,True
test_9129,True,True,0.4487,0.24,0.46,0.8667,0.7267,0.704,True
test_9130,True,True,1.2376,2.83,0.90,0.6137,0.5819,0.716,True
test_9131,True,True,1.3596,3.60,1.48,0.6091,0.5416,0.715,True
test_9132,True,True,0.0850,1.45,1.32,0.6471,0.6437,0.693,True
test_9133,True,True,0.1417,0.76,0.54,0.8667,0.7200,0.694,True
test_9134,True,True,0.0930,0.46,0.60,0.8667,0.7101,0.693,True
test_9135,True,True,0.5700,0.78,0.11,0.7479,0.7227,0.711,True
test_9136,True,True,0.2279,0.06,0.30,0.8676,0.7527,0.703,True
test_9137,True,True,0.3020,1.39,1.86,0.4737,0.5885,0.698,True
test_9138,True,True,0.5554,0.04,0.91,0.7866,0.6755,0.678,True
test_9139,True,True,0.5546,2.45,1.59,0.5556,0.5658,0.687,True
test_9140,True,True,0.4464,1.39,0.69,0.8662,0.7097,0.690,True
test_9141,True,True,0.0705,0.76,0.65,0.8667,0.6659,0.681,True
test_9142,True,True,1.2296,1.40,0.52,0.6890,0.5708,0.665,True
test_9143,True,True,1.6536,2.63,0.05,0.5369,0.4905,0.662,True
test_9144,True,True,3.7013,5.82,0.05,0.2397,0.3996,0.645,True
test_9145,True,True,0.3560,1.64,1.08,0.7500,0.6690,0.690,True
test_9146,True,True,2.1118,2.28,1.01,0.5369,0.5335,0.677,True
test_9147,True,True,0.4106,1.77,1.13,0.7500,0.5758,0.667,True
test_9148,True,True,0.9007,3.60,2.20,0.5562,0.4190,0.653,True
test_9149,True,True,0.3651,1.06,0.49,0.7496,0.6392,0.662,True
test_9150,True,True,1.3000,3.42,1.39,0.5262,0.5115,0.683,True
test_9151,True,True,0.2882,1.22,0.77,0.8657,0.5780,0.683,True
test_9152,True,True,0.8344,0.64,0.67,0.6874,0.5899,0.684,True
test_9153,True,True,0.3649,0.07,0.63,0.8667,0.4915,0.683,True
test_9154,True,True,1.1006,1.04,0.68,0.6850,0.6114,0.678,True
test_9155,True,True,0.3613,1.23,0.66,0.7866,0.4424,0.700,True
test_9156,True,True,0.4624,1.91,1.19,0.7500,0.5208,0.661,True
test_9157,True,True,0.0955,1.54,1.39,0.6471,0.5795,0.670,True
test_9158,True,True,2.1563,1.39,1.99,0.4729,0.3816,0.675,True
test_9159,True,True,0.4671,5.04,4.31,0.2723,0.2218,0.671,True
test_9160,True,True,0.2071,3.91,3.59,0.2727,0.2860,0.676,True
test_9161,True,True,1.1693,5.76,3.93,0.2174,0.2230,0.674,True
test_9162,True,True,1.1537,6.14,4.34,0.2170,0.1645,0.665,True
test_9163,True,True,0.0011,3.69,3.69,0.2727,0.2984,0.651,True
test_9164,True,True,2.0351,6.95,3.77,0.2371,0.1585,0.559,True
test_9165,True,True,3.7163,11.01,5.21,0.1907,0.0780,0.637,False
test_9166,True,True,2.0799,6.58,3.33,0.2831,0.2736,0.685,True
test_9167,True,True,0.1816,3.40,3.69,0.3333,0.3252,0.648,True
test_9168,True,True,0.3598,4.36,3.80,0.2726,0.3048,0.644,True
test_9169,True,True,0.3202,2.57,3.07,0.4000,0.3632,0.604,True
test_9170,True,True,1.5088,4.15,1.80,0.4508,0.4191,0.674,True
test_10001,True,True,5.2228,13.52,5.29,0.1682,0.2221,0.589,False
test_10002,True,True,7.7630,23.47,11.31,0.1031,0.0947,0.676,False
test_10003,True,True,7.2753,20.00,8.56,0.1176,0.1922,0.687,False
test_10004,True,True,7.1590,21.37,10.16,0.1065,0.1362,0.699,False
test_10005,True,True,6.1184,15.41,5.80,0.1428,0.2533,0.658,False
test_10006,True,True,5.8109,16.79,7.69,0.1436,0.1985,0.694,False
test_10007,True,True,3.0544,5.43,0.63,0.3253,0.2446,0.674,True
test_10008,True,True,4.7391,9.04,1.60,0.1997,0.2745,0.681,True
test_10009,True,True,1.2066,1.76,0.15,0.6468,0.2906,0.678,True
test_10010,True,True,2.6945,7.12,2.90,0.3235,0.1918,0.654,True
test_10011,True,True,1.4838,4.20,1.86,0.4532,0.4439,0.648,True
test_10012,True,True,4.8015,16.23,8.69,0.1127,0.1550,0.684,False
test_10013,True,True,3.0312,9.38,4.63,0.1871,0.2501,0.677,True
test_10014,True,True,2.4662,6.40,2.53,0.3504,0.3533,0.684,True
test_10015,True,True,4.1606,10.88,4.38,0.2031,0.2550,0.703,False
