name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_346,True,True,15.5526,52.56,27.94,0.0446,0.4076,0.000,False
test_347,True,True,11.4790,43.68,25.58,0.0195,0.3896,0.000,False
test_348,True,True,5.3723,41.36,32.78,0.0000,0.3813,0.000,False
test_349,True,True,6.5944,1.21,11.86,0.1235,0.4292,0.169,False
test_350,True,True,1.7022,2.13,4.93,0.2963,0.3805,0.341,True
test_351,True,True,1.6011,6.96,9.58,0.0084,0.3056,0.484,True
test_352,True,True,25.5268,90.93,50.39,0.0242,0.2840,0.479,False
test_353,True,True,11.7486,38.99,20.24,0.0638,0.3615,0.000,False
test_354,True,True,2.9287,22.55,27.25,0.0000,0.1075,0.096,False
test_355,True,True,24.9551,99.94,60.39,0.0000,0.2668,0.459,False
test_356,True,True,11.5449,12.28,6.72,0.0711,0.1851,0.000,False
test_357,True,True,7.3843,18.99,6.11,0.1143,0.0679,0.110,False
test_358,True,True,21.0542,55.08,21.91,0.0403,0.2502,0.000,False
test_359,True,True,1.1876,1.28,3.22,0.4192,0.4172,0.462,True
test_360,True,True,22.0004,95.70,60.90,0.0000,0.3706,0.263,False
test_361,True,True,10.6101,26.43,9.61,0.0780,0.3811,0.000,False
test_362,True,True,5.2211,50.44,42.05,0.0000,0.3308,0.000,False
test_363,True,True,14.4323,51.42,28.54,0.0389,0.3749,0.000,False
test_364,True,True,30.2622,85.21,36.85,0.0271,0.3988,0.000,False
test_365,True,True,8.2414,39.41,26.39,0.0000,0.3975,0.000,False
test_366,True,True,3.1694,28.08,23.08,0.0000,0.3832,0.000,False
test_367,True,True,9.6520,33.35,17.82,0.0641,0.3888,0.000,False
test_368,True,True,14.2741,52.50,29.91,0.0229,0.3560,0.000,False
test_369,True,True,9.7041,35.70,20.09,0.0420,0.2890,0.000,False
test_370,True,True,18.6691,117.33,87.35,0.0000,0.1899,0.084,False
test_371,True,True,6.1275,4.21,14.29,0.0891,0.2515,0.026,False
